GEOID,STATEFP20,COUNTYFP20,TRACTCE20,NAME20,below_povertyE,below_povertyM,populationE,populationM,poverty_pct,total_households,hh_no_vehicle,no_vehicle_pct,PROP_PRIM_SEC_ROADS,N_STREETS,PROP_STRLEN_PRIM_SEC,est_HOUSEHOLDS,est_CELLULAR,est_NO_INT,pct_cellular_broadband,pct_no_internet,TRACT_LABEL,aden_grocery_2020,STOPS_PER_CAPITA,STOPS_PER_SQMILE,RUCC_2023,PrimaryRUCA,SecondaryRUCA,median_income,Z_Poverty,Poverty_Weight,C_Economic,C_Geographic,C_Vehicle_A,C_Transit_B,C_Internet_C,C_Roads_D,V_final_Unweighted,TVS,V_final_Weighted
13087970100,13,87,970100,9701.0,528,235,3116,404,16.9448010269576,1230,82,6.66666666666667,0.1859678775072,1183,0.2086296975613,1334.0049410336,475.0020207868,626.0017719362,35.6072159986727,46.9264957482967,970100,0.220524022349541,0,0,6,5,5,33702,-0.7421386840077642,-0.7421386840077642,-0.9236600433616914,0.5915332990003266,-0.18193636713605812,3.0,3.3860771119601885,0.04147931555644851,5.913493316019214,1.5085888070932592,1.1764620627318942
13087970200,13,87,970200,9702.0,433,234,2962,434,14.6185010128292,1087,54,4.96780128794848,0.1571936011314,1126,0.1535653471947,1132.0,437.0,494.0,38.6042402826855,43.6395759717314,970200,0.0,0,0,6,5,5,36168,-1.003314612853624,-1.003314612853624,-1.3494367411545143,0.6613118081721348,-0.42836017451375136,3.0,1.1817859579445145,0.5929427792500017,3.658243629698385,1.0243073997084025,0.3361824667260229
13087970301,13,87,970301,9703.01,1130,293,3350,546,33.7313432835821,1144,272,23.7762237762238,0.2778793275356,547,0.2703927159309,924.0447478416,413.591457174,366.446316978,44.7588126159555,39.6567717996289,970301,1.00782530500345,0,0,6,4,4,24554,1.1425024797962233,1.1425024797962233,0.6558230188478565,0.34241436317044766,2.299838974394719,3.0,-1.8038953094524532,-1.7200178607335035,2.7741631862270664,1.2871547417940463,2.2853921238123505
13087970302,13,87,970302,9703.02,990,475,3010,598,32.890365448505,970,30,3.09278350515464,0.2156862765551,816,0.2137288153172,1231.9552521584,551.408542826,488.553683022,44.7588126159555,39.6567717996289,970302,1.34365319499655,0,0,6,5,5,17911,1.0480850934397454,1.0480850934397454,1.8027956885306315,0.2361512483752296,-0.7003352390038871,3.0,-0.7792425533706994,-0.5280784053864633,3.031290739144811,0.41120955318565894,2.45015649009152
13087970400,13,87,970400,9704.0,1626,484,5138,716,31.6465550797976,2033,208,10.2311854402361,0.1655172407627,725,0.1434609442949,1647.9950589664,673.9979792132,590.9982280638,40.8980582524272,35.8616504854369,970400,8.37911887765046,0,0,6,4,4,28160,0.9084413130234948,0.9084413130234948,0.03321524421650216,-1.990020310779759,0.3351041816065341,3.0,0.5162529732409532,0.4334189364376033,2.327971024721834,1.1806341609345645,-0.7761709056286923
13087970600,13,87,970600,9706.0,1208,373,6258,676,19.3032917865133,2482,139,5.60032232070911,0.2035661190748,673,0.2420915216208,2063.0,882.0,558.0,42.7532719340766,27.0479883664566,970600,5.6357065,0,0,6,4,4,32354,-0.4773486693663687,-0.4773486693663687,-0.6909159279420947,-1.1219460587488077,-0.336611738709527,3.0,-1.264170487674396,-0.29579370994165066,-0.7094379230164761,0.4829418359871448,-1.3299201507037575
13087970700,13,87,970700,9707.0,182,153,1558,279,11.6816431322208,635,12,1.88976377952756,0.096866093576,1053,0.1078519746661,773.0,376.0,268.0,48.6416558861578,34.6701164294955,970700,0.0,0,0,6,6,6,26018,-1.3330384576705916,-1.3330384576705916,0.4030504780657426,0.6613118081721348,-0.8748356466601838,3.0,-4.139323174169194,1.749128805894257,0.7993322713027569,-0.10288601290848662,0.9614762733293908
13087970800,13,87,970800,9708.0,708,302,2563,454,27.6238782676551,714,51,7.14285714285714,0.2023809552193,840,0.1930776387453,978.0,371.0,529.0,37.9345603271984,54.0899795501022,970800,0.1329492,0,0,6,3,3,27952,0.45681153763888677,0.45681153763888677,0.06912828279756753,0.6192438426382934,-0.11286398997784557,3.0,2.902515481521081,-0.2730798610766934,6.204943755902403,1.4080495142054086,2.0964216396412696
